# SN       mJ    err    mu    err     M_J   err E(B-V) dm15 Host    Hostmorph  morph  MW-A_J    K_J     Reference      Sample
SN2001el 12.837 0.022 31.311 0.045 -18.474 0.050 0.25  1.08 NGC1448 SAcd        4.5  0.009801 -0.0109  Krisciunas2004  other
SN2002fk 13.749 0.010 32.523 0.055 -18.774 0.056 0.01  1.20 NGC1309 SA(s)bc     3.5  0.027864 -0.0199  Cartier2014     other
SN2003du 14.325 0.056 32.919 0.063 -18.594 0.084 0.00  1.02 UGC9391 SBdm        5.0  0.006561 -0.0147  Stanishev2007   other
SN2005cf 13.791 0.025 32.263 0.102 -18.472 0.105 0.09  1.10 NGC5917 Sb          3.0  0.068121 -0.0187  Wang2009        other
SN2007af 13.446 0.003 31.786 0.046 -18.340 0.046 0.17  1.17 NGC5584 SAB(rs)cd   4.5  0.027216 -0.0173  Contreras2010    CSP
SN2011by 13.218 0.040 31.587 0.070 -18.369 0.081 0.01  1.14 NGC3972 SA(s)bc     3.5  0.009639 -0.0109  Friedman2015     CfA
SN2011fe 10.464 0.009 29.135 0.045 -18.671 0.046 0.013 1.20 M101    SAB(rs)cd   4.5  0.006237 -0.0022  Matheson2012    other
SN2012cg 12.285 0.017 31.080 0.292 -18.795 0.292 0.25  0.97 NGC4424 SB(s)a      2.0  0.014499 -0.0053  Marion2016       CfA
SN2015F  13.081 0.024 31.511 0.053 -18.430 0.058 0.035 1.26 NGC2442 SAB(s)bc    3.5  0.141669 -0.0153  Cartier2017     other
