#Note - the user should implement his/her own light-curve quality cuts, and calculate his/her own mu values.  

Update 1a:  High-z HST SN distances were given here with a different format.  These have been removed. 
Update 1b: Small changes to the peculiar velocities were made from Hudson from 2M++ data.  These have <0.1% impact on H0.
Update 2: Small fix of output of DEC position of handful of CfA4 SNe.
Update 2b: Fixed the small fix of output of DEC position of handful of CfA4 SNe. 9/25/16
Update 3: Cut out id=15 as not used in Riess 2016
User note: This list does not have duplicate SNe removed - most of the SNe have the same name, but a handful of SDSS that have duplicates don't: (sdss=['16314','16392','16333','14318','17186','17784','7876’],truname=['2006oa','2006ob','2006on','2006py','2007hx','2007jg','2005ir’]).
User note: Intrinsic scatter and distance scatter due to redshift error is not included here. 11/14/2016

NVAR: 41 
VARNAMES: CID CIDint IDSURVEY TYPE FIELD zHD zHDERR z zERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB RA DECL TGAPMAX MU MUERR MUERR_NOSIGMB MURES MUPULL sbar cbar ERRCODE 
SN: 2689 2689 1 120 82S 0.16035 0.00001 0.16149 0.00001 11.3510 9.20000e-02 37.4253 30.1427 24.0994 53637.051 0.187 1.3990 0.1962 7.93167e-02 2.81099e-02 19.9640773009 3.90194e-02 0.000185506772354 6.69351e-06 2.80983e-04 -4.73905e-07 -1.35994e-07 51 83.3824 2.82988e-03 24.900267 -0.758794 -0.758794   39.2413  0.0740  0.0740 -0.200 -2.708  1.666  0.020 64 
SN: 2916 2916 1 120 82S 0.12303 0.00001 0.12420 0.00001 10.0410 8.00000e-03 31.0012 30.1371 21.2575 53643.848 0.164 -7.69355e-01 0.2347 6.27622e-02 3.52965e-02 19.7363992899 6.38308e-02 0.000228782427909 1.41174e-05 3.15559e-03 -1.56576e-06 -4.00765e-07 45 64.2416 3.12197e-02 -44.078308 0.569479 8.8153   38.7615  0.0713  0.0713 -0.058 -0.806 -0.707  0.045 0
SN: 2992 2992 1 120 82S 0.12608 0.00001 0.12660 0.00001 10.2310 5.70000e-02 36.1775 36.1772 26.4572 53641.156 0.202 -9.58839e-01 0.1426 9.90545e-02 3.10030e-02 19.7988024581 6.10507e-02 0.000216004206973 1.28404e-05 1.19329e-04 -1.44755e-07 -3.06339e-07 63 57.8837 0.6587 55.496922 -0.782694 12.2846   38.6849  0.0660  0.0660 -0.179 -2.714 -0.826  0.040 0
SN: 5549 5549 1 120 82N 0.11991 0.00001 0.12124 0.00001 8.7220 9.60000e-02 51.6870 49.3394 31.0007 53666.090 0.106 0.2533 9.84120e-02 7.77260e-03 2.20367e-02 19.3845501297 3.26307e-02 0.00031635509697 9.69704e-06 3.11979e-04 -1.93524e-07 -1.65068e-07 46 63.0079 4.84610e-02 3.250478 0.248144 11.5943   38.7233  0.0487  0.0487 -0.039 -0.806  0.271 -0.008 0
SN: 6057 6057 1 120 82N 0.06651 0.00001 0.06707 0.00001 10.0710 4.90000e-02 83.5120 72.3782 12.6045 53663.625 0.101 -4.20163e-01 0.1093 0.1024 2.95707e-02 18.4070595656 7.23461e-02 0.000778338085265 5.50646e-05 -6.07853e-05 -1.64587e-07 -1.23624e-06 36 49.9393 6.11687e-02 52.553547 -0.974675 5.6448   37.3582  0.0630  0.0630 -0.039 -0.623 -0.399  0.092 0
SN: 6108 6108 1 120 82N 0.25800 0.00001 0.25950 0.00001 9.3230 0.1190 14.2214 13.5094 9.5201 53675.148 0.649 0.4563 0.6524 2.96487e-02 4.49082e-02 21.3011057135 5.63641e-02 5.41435771687e-05 3.01043e-06 7.94623e-03 -6.97989e-07 -8.26866e-08 30 16.3507 0.9796 1.806569 0.348897 0.348897   40.6003  0.1346  0.1346  0.007  0.053  0.440  0.031 0 
SN: 6196 6196 1 120 82N 0.27980 0.00001 0.28135 0.00001 11.4060 0.1400 11.2450 10.5938 8.3391 53669.473 0.177 -1.41714e+00 0.5787 -1.89055e-02 4.69144e-02 21.3748576726 5.53629e-02 5.05873871199e-05 2.87713e-06 6.51201e-03 -6.83047e-07 -8.14162e-08 49 30.0780 0.9885 -22.368927 -0.502793 -0.502793   40.5623  0.1384  0.1384 -0.232 -1.674 -0.914 -0.070 0 
SN: 6315 6315 1 120 82N 0.26576 0.00001 0.26700 0.00001 9.7200 0.2290 25.2167 17.4715 11.1375 53676.684 0.347 -9.88384e-02 0.3723 -1.98698e-01 3.85300e-02 20.5446640305 5.33244e-02 0.000108672752611 4.93420e-06 1.62781e-03 -4.33130e-07 -1.07586e-07 35 28.8092 0.7604 -49.517273 1.091907 1.091907   40.4740  0.1120  0.1120 -0.190 -1.694  0.186 -0.249 0 
SN: 6422 6422 1 120 82S 0.18500 0.00001 0.18645 0.00001 9.7650 9.30000e-02 45.2244 31.9139 20.4505 53667.996 0.268 0.8119 0.2160 -1.08119e-01 2.35603e-02 19.9656751358 3.41054e-02 0.0001852305109 5.71006e-06 4.16107e-04 -2.12587e-07 -9.44479e-08 50 39.0243 0.8691 -10.861298 -0.663257 -0.663257   39.7417  0.0626  0.0626 -0.044 -0.697  0.886 -0.121 0 
SN: 6558 6558 1 118 82S 0.05679946392774582 0.00001 0.05739 0.00001 9.7690 6.20000e-02 180.9549 83.5158 35.0184 53675.027 0.092 1.0585 9.15922e-02 -2.43909e-02 2.33139e-02 17.4446853751 3.44827e-02 0.00188861789647 6.04797e-05 -7.80634e-06 -6.34644e-07 -9.95812e-07 25 52.3608 1.07886e-03 21.701651 -1.238144 -1.238144   36.9956  0.0562  0.0562 -0.050 -0.886  1.083 -0.042 64 
